iter	Passed	Remaining
455	898	1071
456	899	1069
457	901	1066
458	903	1064
459	905	1062
460	906	1059
461	907	1056
462	910	1055
463	912	1053
464	913	1051
465	915	1048
466	917	1047
467	918	1044
468	921	1043
469	922	1040
470	923	1037
471	926	1036
472	928	1034
473	929	1031
474	930	1028
475	932	1026
476	933	1023
477	934	1020
478	935	1017
479	936	1014
480	937	1011
481	939	1009
482	941	1008
483	943	1005
484	944	1003
485	945	1000
486	948	998
487	949	995
488	950	992
489	951	990
490	952	987
491	956	987
492	957	985
493	959	982
494	962	982
495	964	979
496	965	977
497	967	975
498	980	984
499	982	982
500	983	979
501	990	982
502	992	980
503	994	979
504	996	976
505	997	973
506	998	970
507	999	967
508	1000	964
509	1003	963
510	1004	961
511	1005	958
512	1006	955
513	1007	952
514	1009	950
515	1010	947
516	1011	944
517	1012	942
518	1014	939
519	1016	937
520	1018	936
521	1020	934
522	1022	932
523	1024	930
524	1025	927
525	1026	925
526	1027	922
527	1029	919
528	1030	917
529	1034	917
530	1036	915
531	1037	912
532	1038	910
533	1040	907
534	1041	905
535	1042	902
536	1043	899
537	1044	897
538	1048	896
539	1050	895
540	1053	893
541	1061	896
542	1064	896
543	1066	894
544	1068	891
545	1069	889
546	1070	886
547	1072	884
548	1075	883
549	1080	884
550	1082	881
551	1083	879
552	1086	878
553	1101	886
554	1103	884
555	1104	882
556	1106	879
557	1107	877
558	1111	876
559	1113	874
560	1114	872
561	1115	869
562	1117	867
563	1119	865
564	1120	863
565	1122	860
566	1127	861
567	1129	858
568	1130	856
569	1132	854
570	1134	852
571	1138	851
572	1140	850
573	1142	848
574	1144	845
575	1146	843
576	1148	842
577	1150	839
578	1151	837
579	1153	835
580	1163	838
581	1165	836
582	1166	834
583	1168	832
584	1169	829
585	1174	829
586	1176	827
587	1177	825
588	1179	823
589	1181	821
590	1183	818
591	1184	816
592	1187	814
593	1189	812
594	1190	810
595	1193	809
596	1195	806
597	1196	804
598	1198	802
599	1202	801
600	1206	800
601	1242	821
602	1244	819
603	1247	818
604	1250	816
605	1252	814
606	1255	812
607	1256	810
608	1258	808
609	1261	806
610	1263	804
611	1265	802
612	1267	800
613	1268	797
614	1271	795
615	1273	793
616	1274	791
617	1282	792
618	1285	791
619	1286	788
620	1288	786
621	1290	784
622	1291	781
623	1294	780
624	1297	778
625	1298	776
626	1302	774
627	1304	772
628	1306	770
629	1310	769
630	1312	767
631	1313	764
632	1315	762
633	1317	760
634	1333	766
635	1335	764
636	1346	767
637	1348	765
638	1350	762
639	1351	760
640	1358	760
641	1360	758
642	1361	755
643	1363	753
644	1364	751
645	1366	748
646	1367	746
647	1368	743
648	1370	741
649	1373	739
650	1375	737
651	1377	735
652	1378	732
653	1381	730
654	1382	728
655	1386	727
656	1389	725
657	1391	723
658	1393	721
659	1395	718
660	1397	716
661	1399	714
662	1401	712
663	1403	710
664	1405	708
665	1407	706
666	1409	703
667	1411	701
668	1413	699
669	1418	698
670	1419	696
671	1420	693
672	1422	690
673	1423	688
674	1424	685
675	1425	683
676	1427	681
677	1429	678
678	1430	676
679	1433	674
680	1437	673
681	1441	672
682	1465	680
683	1475	681
684	1476	679
685	1478	676
686	1479	674
687	1481	671
688	1485	670
689	1488	668
690	1491	666
691	1498	666
692	1507	667
693	1508	665
694	1510	662
695	1511	660
696	1512	657
697	1513	655
698	1516	652
699	1520	651
700	1521	649
701	1523	646
702	1525	644
703	1526	641
704	1527	639
705	1528	636
706	1529	633
707	1532	632
708	1533	629
709	1535	627
710	1538	625
711	1539	622
712	1540	620
713	1541	617
714	1542	614
715	1545	612
716	1547	610
717	1549	608
718	1550	605
719	1552	603
720	1553	601
721	1554	598
722	1555	596
723	1557	593
724	1562	592
725	1579	595
726	1583	594
727	1586	592
728	1671	621
729	1687	624
730	1694	623
731	1697	621
732	1699	619
733	1702	616
734	1703	614
735	1719	616
736	1720	614
737	1733	615
738	1734	612
739	1736	609
740	1737	607
741	1740	605
742	1742	602
743	1744	600
744	1746	597
745	1752	596
746	1755	594
747	1757	592
748	1759	589
749	1761	587
750	1763	584
751	1770	583
752	1771	581
753	1774	578
754	1775	576
755	1776	573
756	1783	572
757	1786	570
758	1787	567
759	1789	565
760	1790	562
761	1792	559
762	1793	557
763	1797	555
764	1799	552
765	1800	550
766	1801	547
767	1804	545
768	1805	542
769	1815	542
770	1816	539
771	1818	536
772	1819	534
773	1820	531
774	1821	528
775	1828	527
776	1829	525
777	1830	522
778	1831	519
779	1832	516
780	1834	514
781	1835	511
782	1836	508
783	1842	507
784	1844	505
785	1845	502
786	1846	499
787	1847	497
788	1849	494
789	1850	491
790	1851	489
791	1852	486
792	1854	484
793	1855	481
794	1856	478
795	1857	476
796	1859	473
797	1860	471
798	1862	468
799	1868	467
800	1870	464
801	1871	462
802	1873	459
803	1874	457
804	1875	454
805	1876	451
806	1877	449
807	1883	447
808	1885	445
809	1887	442
810	1889	440
811	1890	437
812	1891	435
813	1892	432
814	1893	429
815	1900	428
816	1901	425
817	1903	423
818	1906	421
819	1908	418
820	1909	416
821	1912	414
822	1914	411
823	1915	409
824	1917	406
825	1929	406
826	1931	403
827	1932	401
828	1946	401
829	1949	399
830	1961	398
831	1962	396
832	1965	393
833	1977	393
834	1981	391
835	1992	390
836	1994	388
837	1996	385
838	1997	383
839	2010	382
840	2012	380
841	2013	377
842	2014	375
843	2018	373
844	2019	370
845	2021	367
846	2030	366
847	2033	364
848	2035	362
849	2036	359
850	2050	358
851	2052	356
852	2053	353
853	2064	352
854	2066	350
855	2068	347
856	2069	345
857	2081	344
858	2082	341
859	2083	339
860	2085	336
861	2095	335
862	2098	333
863	2100	330
864	2113	329
865	2115	327
866	2116	324
867	2127	323
868	2129	321
869	2130	318
870	2132	315
871	2140	314
872	2144	311
873	2145	309
874	2147	306
875	2148	304
876	2159	302
877	2161	300
878	2163	297
879	2164	295
880	2175	293
881	2177	291
882	2178	288
883	2179	286
884	2188	284
885	2192	282
886	2193	279
887	2195	276
888	2206	275
889	2207	272
890	2209	270
891	2210	267
892	2216	265
893	2218	263
894	2221	260
895	2223	258
896	2225	255
897	2226	252
898	2234	251
899	2236	248
900	2237	245
901	2239	243
902	2240	240
903	2241	238
904	2242	235
905	2248	233
906	2250	230
907	2251	228
908	2253	225
909	2254	222
910	2255	220
911	2256	217
912	2258	215
913	2260	212
914	2263	210
915	2265	207
916	2266	205
917	2267	202
918	2268	199
919	2270	197
920	2271	194
921	2272	192
922	2273	189
923	2275	187
924	2279	184
925	2280	182
926	2282	179
927	2283	177
928	2284	174
929	2285	172
930	2286	169
931	2287	166
932	2291	164
933	2294	162
934	2295	159
935	2296	157
936	2298	154
937	2299	151
938	2300	149
939	2301	146
940	2302	144
941	2304	141
942	2308	139
943	2310	137
944	2311	134
945	2313	132
946	2314	129
947	2315	127
948	2316	124
949	2317	121
950	2318	119
951	2322	117
952	2329	114
953	2330	112
954	2332	109
955	2333	107
956	2334	104
957	2335	102
958	2337	99
959	2338	97
960	2340	94
961	2352	92
962	2353	90
963	2354	87
964	2355	85
965	2356	82
966	2367	80
967	2368	78
968	2369	75
969	2370	73
970	2371	70
971	2376	68
972	2380	66
973	2381	63
974	2382	61
975	2383	58
976	2384	56
977	2386	53
978	2387	51
979	2395	48
980	2397	46
981	2400	43
982	2401	41
983	2402	39
984	2406	36
985	2411	34
986	2412	31
987	2413	29
988	2414	26
989	2416	24
990	2417	21
991	2418	19
992	2427	17
993	2428	14
994	2429	12
995	2431	9
996	2432	7
997	2433	4
998	2434	2
999	2439	0
